Модуль;L_мод,м;T_вх,°C;T_вых,°C;Q_пад,кВт;Q_опт,кВт;Q_погл,кВт;Q_потерь,кВт;Q_полезн,кВт;Тип;d_par,кг/ч;Sum_par,кг/ч;x
1;12,5;152,4;171,3;63,75;15,94;47,81;12,25;35,56;Эко;0;0;0
2;25,0;171,3;189,2;63,75;15,94;47,81;14,23;33,58;Эко;0;0;0
3;37,5;189,2;201,4;63,75;15,94;47,81;15,08;9,83;Смеш;18,3;18,3;0,0116
4;50,0;201,4;201,4;63,75;15,94;47,81;15,65;32,16;Исп;59,8;78,1;0,0496
5;62,5;201,4;201,4;63,75;15,94;47,81;15,65;32,16;Исп;59,8;137,9;0,0876
6;75,0;201,4;201,4;63,75;15,94;47,81;15,65;32,16;Исп;59,8;197,7;0,1255
7;87,5;201,4;201,4;63,75;15,94;47,81;15,65;32,16;Исп;59,8;257,5;0,1635
8;100,0;201,4;201,4;63,75;15,94;47,81;15,65;32,16;Исп;59,8;317,3;0,2015
9;112,5;201,4;201,4;63,75;15,94;47,81;15,65;32,16;Исп;59,8;377,1;0,2395
10;125,0;201,4;201,4;63,75;15,94;47,81;15,65;32,16;Исп;59,8;436,9;0,2775
11;137,5;201,4;201,4;63,75;15,94;47,81;15,65;32,16;Исп;59,8;496,7;0,3155
12;150,0;201,4;201,4;63,75;15,94;47,81;15,65;32,16;Исп;59,8;556,5;0,353
